ReportDt,Unit,Power
02/22/2019,South Texas 2,100
02/22/2019,Summer,100
02/22/2019,Surry 1,100
02/22/2019,Surry 2,100
02/22/2019,Susquehanna 1,100
02/22/2019,Susquehanna 2,89
02/22/2019,Three Mile Island 1,100
02/22/2019,Turkey Point 3,100
02/22/2019,Turkey Point 4,97
02/22/2019,Vogtle 1,100
02/22/2019,Vogtle 2,100
02/22/2019,Waterford 3,0
02/22/2019,Watts Bar 1,100
02/22/2019,Watts Bar 2,100
02/22/2019,Wolf Creek 1,100
02/21/2019,Arkansas Nuclear 1,100
02/21/2019,Arkansas Nuclear 2,100
02/21/2019,Beaver Valley 1,100
02/21/2019,Beaver Valley 2,100
02/21/2019,Braidwood 1,100
02/21/2019,Braidwood 2,100
02/21/2019,Browns Ferry 1,100
02/21/2019,Browns Ferry 2,89
02/21/2019,Browns Ferry 3,100
02/21/2019,Brunswick 1,100
02/21/2019,Brunswick 2,100
02/21/2019,Byron 1,100
02/21/2019,Byron 2,100
02/21/2019,Callaway,100
02/21/2019,Calvert Cliffs 1,100
02/21/2019,Calvert Cliffs 2,0
02/21/2019,Catawba 1,100
02/21/2019,Catawba 2,100
02/21/2019,Clinton,98
